"district","total_ntd","land_area","main_building_material","building_area","num_room","num_hall","num_toilet","transaction_year","transaction_month","building_age","mlr_resid"
"Beitou",17700000,33,"Strengthen brickwork",91.8,5,3,3,2019,12,1952,343.649014732256
"Neihu District",8880000,21.25,"See other registration items",77,5,3,2,2019,10,1955.6,-436.095844312577
"Nangang District",20000000,51.5,"Strengthen brickwork",102.05,5,3,2,2019,10,1960,172.767491077023
"Zhongshan Area",7800000,34.4,"Strengthen brickwork",104.69,5,1,3,2019,11,1950,-711.823264669474
"Nangang District",24100000,42.62,"Strengthen brickwork",103.75,5,2,1,2019,12,1955.176471,718.792625071288
"Beitou",23500000,42.27,"Strengthen brickwork",162.73,5,1,2,2019,11,1943,-361.680818285707
"shihlin",13450000,29.04,"Strengthen brickwork",116.5,5,3,3,2019,11,1945.885714,-276.25284393725
"Daan District",9500000,41,"Strengthen brickwork",108.83,4,2,1,2019,9,1953,-538.281712246727
"Xinyi District",13500000,25.19,"Strengthen brickwork",101.9,4,2,2,2019,9,1947,-109.341205839441
"Nangang District",29000000,31.67,"Strengthen brickwork",141.97,4,2,2,2019,10,1943,127.515297493066
"shihlin",15800000,37.67,"Strengthen brickwork",129.16,4,2,2,2019,9,1938,-231.838001818057
"Zhongzheng District",27300000,36.92,"Strengthen brickwork",138.13,4,2,2,2019,10,1943,-200.790622712187
"Nangang District",24500000,58.75,"Strengthen brickwork",162.38,4,2,1,2019,10,1958.666667,-618.326272548014
"Songshan District",27330000,28.34,"Strengthen brickwork",150.56,4,2,2,2019,10,1947,148.31183936613
"Daan District",17500000,53.87,"Strengthen brickwork",134.39,4,2,2,2019,10,1953,-46.6534168250919
"shihlin",14380000,29.48,"Strengthen brickwork",105.69,4,0,3,2019,8,1950,453.811185688747
"Wanhua District",7000000,15.2,"Strengthen brickwork",50.16,4,2,2,2019,10,1954,243.01828022714
"Zhongzheng District",38000000,37.56,"Strengthen brickwork",199.33,4,2,3,2019,10,1936.9,-710.710769984263
"Zhongzheng District",43000000,14.95,"Strengthen brickwork",150.22,4,2,2,2019,8,1945,884.692179273017
"Xinyi District",13080000,36.25,"Strengthen brickwork",106.7,4,2,1,2019,10,1954.02,-186.815611369963
"Nangang District",34680000,34.27,"Strengthen brickwork",132.99,4,2,2,2019,10,1940,806.358629235732
"Songshan District",14300000,18.67,"Strengthen brickwork",99.18,4,2,2,2019,10,1952,-106.24897124967
"Zhongshan Area",14800000,35.63,"Strengthen brickwork",116.47,4,1,3,2019,10,1949,-15.0277359307633
"shihlin",12800000,44.88,"Strengthen brickwork",96.49,4,2,2,2019,10,1958,258.276813495257
"Nangang District",40360000,37.65,"Strengthen brickwork",180.56,4,2,3,2019,10,1954,284.059979123409
"Nangang District",17800000,28.2,"Strengthen brickwork",95.59,4,3,2,2019,9,1949.318182,-94.750049721751
"Zhongzheng District",30000000,42.75,"Strengthen brickwork",101.13,4,2,2,2019,10,1960.071429,1010.27006910427
"Zhongzheng District",30690000,25.42,"Strengthen brickwork",146.25,4,2,2,2019,8,1936.9,-114.631176401394
"Nangang District",23500000,26.38,"Strengthen brickwork",130.82,4,2,2,2019,6,1950,-112.606173286798
"Songshan District",38800000,17.8,"Strengthen brickwork",177.87,4,2,2,2019,10,1944,521.801632624851
"Zhongzheng District",46380000,36.79,"Strengthen brickwork",195.27,4,2,2,2019,9,1946,130.92567444955
"Zhongshan Area",13500000,30.2,"Strengthen brickwork",103.2,4,1,2,2019,11,1950,156.386411424137
"Zhongshan Area",15600000,35.35,"Strengthen brickwork",108.83,4,2,3,2019,11,1947,103.948657768333
"Zhongzheng District",16000000,32.25,"Strengthen brickwork",90.11,4,3,2,2019,10,1960.071429,-356.204053867537
"Nangang District",35300000,62.88,"Strengthen brickwork",145.44,4,2,1,2019,10,1956,727.803314586445
"Beitou",15200000,32,"Strengthen brickwork",86.4,4,1,2,2019,6,1956.675,411.305630734152
"Wanhua District",18000000,48.67,"See other registration items",143.04,4,2,2,2019,10,1963,-449.520722992757
"Neihu District",17380000,36.5,"Strengthen brickwork",95.76,4,2,2,2019,8,1945,564.262150052234
"Wenshan District",9480000,27,"Reinforced concrete construction",66.63,4,2,3,2019,10,1952,3.57626817049095e-10
"Zhongzheng District",43000000,43.08,"Strengthen brickwork",172.22,4,2,2,2019,10,1957,479.390214845135
"Zhongzheng District",43100000,35,"Strengthen brickwork",188.14,4,2,2,2019,10,1946,48.326099583271
"Nangang District",15880000,34.75,"Strengthen brickwork",98.5,4,3,2,2019,11,1956,-338.837345466838
"Zhongshan Area",16000000,33.5,"Strengthen brickwork",117.95,4,1,2,2019,10,1943,92.786811602528
"Nangang District",36880000,28.68,"Strengthen brickwork",147.77,4,2,2,2019,10,1951,751.2911577494
"Zhongzheng District",35200000,35.36,"Strengthen brickwork",145.01,4,2,2,2019,10,1945,370.508716401896
"Songshan District",23750000,17.65,"Strengthen brickwork",148.14,4,2,2,2019,10,1942,-186.214172912229
"Zhongshan Area",17500000,35.35,"Strengthen brickwork",109.04,4,2,2,2019,11,1947,367.535932784352
"Beitou",22300000,32.5,"See other registration items",86.34,4,2,2,2019,11,1961,871.880046879904
"shihlin",18500000,29.55,"Strengthen brickwork",128.65,4,2,2,2019,11,1930,51.4260546759276
"Datong District",23000000,48.6,"Strengthen brickwork",149.34,4,2,2,2019,10,1948,-599.782095989656
"Zhongzheng District",25000000,30.2,"Strengthen brickwork",131.3,4,2,2,2019,10,1946.190476,-244.206844561495
"Songshan District",15000000,27.75,"Strengthen brickwork",97.52,4,2,2,2019,11,1954,35.834845232698
"Xinyi District",31200000,29.13,"Strengthen brickwork",144.34,4,2,2,2019,10,1945,839.506057856408
"Xinyi District",8000000,11.31,"Strengthen brickwork",55.7,4,2,2,2019,8,1947,80.7952425906621
"Xinyi District",16080000,34.71,"Strengthen brickwork",120.28,4,2,2,2019,10,1949,-170.39152673752
"Zhongzheng District",20660000,28.84,"Strengthen brickwork",105.09,4,2,1,2019,11,1947,-69.5896858723705
"Zhongshan Area",30000000,56.76,"Strengthen brickwork",192.06,4,2,2,2019,11,1937,-282.586872556367
"shihlin",12680000,27.26,"Strengthen brickwork",93.31,4,0,3,2019,11,1945.885714,474.885999500564
"Songshan District",34500000,21.41,"Strengthen brickwork",196.57,4,2,2,2019,11,1941,-274.14442113104
"Nangang District",35800000,25.65,"Strengthen brickwork",146.98,4,2,3,2019,11,1948.384615,627.997883108421
"Xinyi District",9580000,31,"Strengthen brickwork",91.62,4,2,2,2019,11,1954,-401.192544247637
"Zhongzheng District",39000000,33.55,"Strengthen brickwork",159.57,4,2,2,2019,10,1939.631579,315.765796290033
"Songshan District",21800000,42.5,"Strengthen brickwork",121.34,4,2,2,2019,10,1955,297.78426997778
"shihlin",17500000,46.07,"Strengthen brickwork",134.89,4,2,2,2019,11,1945,-94.9060413382945
"Xinyi District",22000000,37.45,"Strengthen brickwork",139.32,4,2,2,2019,10,1944,43.756073209605
"Xinyi District",20800000,36.34,"Strengthen brickwork",135.14,4,2,2,2019,11,1943,2.4886210776448
"Xinyi District",21500000,34.96,"Strengthen brickwork",118.25,4,2,2,2019,8,1947.861111,487.405825054811
"Zhongshan Area",9000000,20.95,"Strengthen brickwork",92.26,4,2,2,2019,11,1936,-521.3112596143
"Beitou",9000000,30.75,"Strengthen brickwork",73.79,4,1,1,2019,9,1956.675,-163.034148537766
"Neihu District",7820000,22,"See other registration items",77,4,2,2,2019,11,1955.6,-559.964809264574
"shihlin",14000000,42,"See other registration items",101.15,4,2,2,2019,11,1956.9375,43.3892426715047
"Xinyi District",22500000,27.94,"Strengthen brickwork",113.69,4,2,2,2019,11,1947.861111,707.223738746017
"Neihu District",25500000,17.41,"Strengthen brickwork",126.41,4,2,2,2019,10,1924.5,612.927766815229
"Daan District",15800000,49.61,"Strengthen brickwork",146.12,4,3,2,2019,10,1951,-671.301865426651
"Nangang District",20200000,36.5,"Strengthen brickwork",90.88,4,2,2,2019,10,1955.176471,471.45913324541
"Xinyi District",12750000,23.23,"Strengthen brickwork",91.65,4,1,3,2019,12,1948,138.761309350632
"Datong District",15600000,31.6,"Strengthen brickwork",119.76,4,2,1,2019,10,1945,-765.916415676386
"shihlin",13500000,42.78,"Strengthen brickwork",111.4,4,2,2,2019,11,1956.9375,17.2873878468198
"shihlin",14500000,39.13,"Strengthen brickwork",127.19,4,2,2,2019,11,1949,-262.800215993947
"Wanhua District",19700000,17.2,"Strengthen brickwork",148.34,4,2,2,2019,11,1945,-225.559683397414
"Daan District",11500000,37.25,"Strengthen brickwork",140.96,4,2,3,2019,11,1952,-1016.48039033083
"Nangang District",16880000,23,"Strengthen brickwork",68.48,4,3,2,2019,12,1957,471.52606283768
"Zhongshan Area",10800000,33.04,"Strengthen brickwork",87.68,4,3,1,2019,11,1943,-189.648972056327
"Xinyi District",24000000,38.72,"Strengthen brickwork",145.23,4,2,2,2019,12,1944,124.845745846884
"Beitou",36500000,26.25,"Strengthen brickwork",157,4,2,2,2019,12,1943,747.046611937887
"Nangang District",28600000,38.67,"Strengthen brickwork",156.9,4,2,2,2019,11,1942.75,-246.162011411121
"shihlin",9520000,40.75,"See other registration items",99.28,4,2,2,2019,10,1956.9375,-572.960125267717
"Songshan District",27200000,29.57,"Strengthen brickwork",142.04,4,2,2,2019,9,1946,314.792051839899
"Nangang District",21731688,28.47,"Strengthen brickwork",155.97,4,2,2,2019,12,1950,-845.62964807858
"Beitou",19500000,25.4,"Strengthen brickwork",117.83,4,2,2,2019,11,1948,33.3186909380514
"Zhongshan Area",15000000,39.11,"Strengthen brickwork",105.46,4,2,2,2019,12,1951,169.547729559577
"Xinyi District",13800000,26,"Strengthen brickwork",97.23,4,3,3,2019,6,1946,-156.109205546004
"Xinyi District",24250000,30.64,"Strengthen brickwork",143.14,4,2,2,2019,11,1946,214.730024552962
"Xinyi District",20500000,34.64,"Strengthen brickwork",172.59,4,2,2,2019,11,1940,-889.254873559537
"Beitou",2500000,9,"Strengthen brickwork",21.77,4,1,1,2019,11,1957,-401.568354969751
"Daan District",17500000,41.5,"Strengthen brickwork",122.68,4,2,2,2019,11,1957,255.843205082951
"Wanhua District",5500000,18.75,"See other registration items",47.03,4,1,1,2019,11,1956.125,-65.0546268703614
"Zhongshan Area",13650000,35.86,"Strengthen brickwork",118.68,4,2,3,2019,11,1943,-403.155773859467
"shihlin",12500000,33.75,"Strengthen brickwork",78.66,4,2,2,2019,11,1956.9375,614.085992995537
"Zhongshan Area",11380000,24.14,"Strengthen brickwork",89.08,4,2,1,2019,12,1947,46.3584677896935
"Zhongzheng District",36500000,34.6,"Strengthen brickwork",151.82,4,2,2,2019,11,1948,354.013316897658
"Xinyi District",8500000,38,"Strengthen brickwork",109.43,4,2,2,2019,11,1957,-958.158228510203
"Beitou",13000000,54.75,"See other registration items",107.04,4,1,1,2019,11,1956.675,-577.856409371755
"Songshan District",35880000,26.53,"Strengthen brickwork",148.2,4,2,2,2019,11,1942,926.776391612761
"Xinyi District",12000000,36.28,"Strengthen brickwork",109.83,4,2,1,2019,10,1953,-417.347418059364
"Xinyi District",22880000,31.71,"Strengthen brickwork",140.65,4,2,2,2019,11,1950,160.519567936096
"Zhongzheng District",39676000,52.12,"See other registration items",158.91,4,2,3,2019,12,1960.071429,237.438967058563
"Songshan District",29500000,30.06,"Strengthen brickwork",150.36,4,2,2,2019,12,1951,392.449546277072
"Zhongshan Area",15800000,43.43,"Strengthen brickwork",135.83,4,2,2,2019,11,1946,-451.033150176451
"Nangang District",33000000,28.53,"Strengthen brickwork",147.04,4,2,2,2019,12,1953,460.397304979032
"Nangang District",32500000,19.37,"Strengthen brickwork",144.1,4,2,2,2019,12,1941,391.497561613775
"Nangang District",32500000,26.48,"Strengthen brickwork",144.94,4,2,3,2019,10,1951,408.965862195621
"Beitou",24150000,39.1,"Strengthen brickwork",154.34,4,2,2,2019,10,1943,-332.916929217378
"Zhongshan Area",14100000,26.99,"Strengthen brickwork",105.33,4,2,2,2019,11,1946,18.5722134237551
"Songshan District",22100000,22.45,"Strengthen brickwork",119.09,4,2,2,2019,12,1947,332.119937508591
"Daan District",16150000,33.72,"Strengthen brickwork",123.88,4,2,2,2019,12,1946,-16.5672051263632
"Zhongzheng District",16500000,39.69,"Strengthen brickwork",114.28,4,2,2,2019,12,1960.071429,-691.625983626585
"Songshan District",28000000,28.51,"Strengthen brickwork",158.17,4,2,3,2019,12,1947,12.5335325315515
"Neihu District",15000000,35,"Strengthen brickwork",97.67,4,2,2,2019,11,1955,313.973346440449
"Zhongshan Area",19100000,53.7,"Strengthen brickwork",153.41,4,2,2,2019,12,1943,-474.868715683005
"Nangang District",15200000,27,"Strengthen brickwork",76.01,4,4,2,2019,11,1956,-59.8738938138933
"Nangang District",14500000,6.9,"Strengthen brickwork",72.17,4,3,2,2019,12,1941,-30.4467036115252
"Beitou",23000000,24.8,"Strengthen brickwork",113.68,4,2,2,2019,11,1941,450.327864678707
"Zhongzheng District",35100000,30.4,"Strengthen brickwork",142.71,4,3,3,2019,11,1949,275.054807812778
"Zhongshan Area",17500000,29.95,"Strengthen brickwork",94.52,4,1,2,2019,11,1944,811.390985686071
"Zhongshan Area",24000000,46.46,"Strengthen brickwork",192.42,4,2,2,2019,10,1942,-825.920378467425
"Zhongzheng District",42000000,31.99,"Strengthen brickwork",135.48,4,2,2,2019,11,1944,1127.34944950069
"Songshan District",36000000,55.75,"Strengthen brickwork",155.75,4,2,2,2019,12,1954,850.79938752429
"Datong District",45300000,33.62,"Strengthen brickwork",179.7,4,2,2,2019,12,1953,710.550665638867
"Songshan District",9000000,9.49,"Strengthen brickwork",55.2,4,1,2,2019,2,1947,179.174172387123
"Zhongzheng District",42880000,42,"Strengthen brickwork",167.96,4,2,3,2019,12,1959,552.288388881272
"Zhongshan Area",14000000,27.44,"Strengthen brickwork",115.29,4,3,3,2019,12,1946,-390.235363904256
"Neihu District",14500000,30.75,"Strengthen brickwork",88.58,4,2,2,2019,12,1955.6,461.365311801194
"Xinyi District",21000000,37.6,"Strengthen brickwork",133.47,4,2,2,2019,12,1949,111.388732404493
"Nangang District",27500000,25.69,"Strengthen brickwork",136.33,4,2,2,2019,10,1950,171.370895821478
"Neihu District",10400000,42.75,"Strengthen brickwork",69.53,4,2,3,2019,11,1958,278.935003726078
"Zhongzheng District",37380000,33.36,"Strengthen brickwork",162.18,4,2,2,2019,12,1939.631579,131.644382408053
"Datong District",15800000,35.75,"See other registration items",97.41,3,2,1,2019,10,1961,-470.301031072203
"Wenshan District",11000000,36.75,"Strengthen brickwork",92.02,3,2,2,2019,7,1957,87.0748107726945
"Zhongshan Area",13600000,23.24,"Strengthen brickwork",89.72,3,2,2,2019,10,1946,215.85901219671
"Daan District",21500000,42,"Strengthen brickwork",105.97,3,2,2,2019,10,1956,988.07860483489
"Xinyi District",15500000,33.24,"Strengthen brickwork",114.1,3,2,2,2019,9,1948,-198.561307952614
"Daan District",10000000,28.4,"Strengthen brickwork",91.42,3,2,2,2019,9,1954,-172.905619104151
"Zhongzheng District",31600000,25.38,"Strengthen brickwork",115.37,3,2,1,2019,7,1939,621.530142432367
"Zhongzheng District",15700000,24,"Strengthen brickwork",80.57,3,2,1,2019,10,1959,-92.9210851389488
"shihlin",12800000,36.33,"Strengthen brickwork",109,3,2,2,2019,9,1941,-237.860876419187
"Beitou",23850000,25.3,"Strengthen brickwork",131.75,3,2,2,2019,10,1943,64.6883320508188
"Zhongzheng District",51000000,20.57,"Strengthen brickwork",185.77,3,2,2,2019,8,1950,628.876041961525
"Wanhua District",7830000,21.5,"Strengthen brickwork",79.59,3,1,1,2019,9,1957,-151.12505291584
"Zhongzheng District",23200000,32.95,"Strengthen brickwork",116.56,3,2,2,2019,10,1949,-161.066066749665
"Zhongzheng District",18800000,24.8,"Strengthen brickwork",94.94,3,2,2,2019,10,1943,-202.825022548585
"Xinyi District",20300000,26.88,"Strengthen brickwork",125.45,3,2,2,2019,10,1946,106.740253057294
"Xinyi District",8500000,25.75,"Strengthen brickwork",78.67,3,2,1,2019,10,1954,-340.297128368677
"Nangang District",18000000,41,"Strengthen brickwork",118.42,3,2,1,2019,10,1958,-423.510510395851
"Beitou",19500000,31.25,"Strengthen brickwork",88.49,3,2,2,2019,10,1953,638.880837673962
"Datong District",30880000,45.25,"Strengthen brickwork",137.31,3,2,2,2019,10,1957.272727,422.290265539102
"shihlin",12900000,18.22,"Strengthen brickwork",76.9,3,1,1,2019,10,1936,640.377690578439
"shihlin",11800000,29.82,"Strengthen brickwork",110.74,3,2,2,2019,10,1948,-357.331470261765
"shihlin",6000000,20.75,"See other registration items",46.32,3,2,2,2019,11,1961,-64.6413411376724
"Songshan District",13000000,30.25,"Strengthen brickwork",113.94,3,2,1,2019,9,1944,-732.994600782048
"Beitou",11000000,24.75,"Strengthen brickwork",82.58,3,2,2,2019,10,1952,-332.949674634417
"Nangang District",28880000,45.47,"Strengthen brickwork",145.08,3,2,2,2019,6,1941,-70.0410976895451
"Xinyi District",22880000,33.03,"Strengthen brickwork",107.69,3,2,2,2019,10,1948,793.443202106479
"Xinyi District",8680000,30,"Strengthen brickwork",81.66,3,2,1,2019,10,1952,-394.580473430473
"Xinyi District",9000000,22.5,"Strengthen brickwork",47.99,3,1,1,2019,9,1957,592.876718366562
"Xinyi District",10000000,29.4,"Strengthen brickwork",78.05,3,2,1,2019,8,1952,-102.701216679774
"Zhongzheng District",28900000,20.02,"Strengthen brickwork",105.13,3,2,2,2019,10,1945,628.312938132916
"Zhongzheng District",35000000,15.78,"Strengthen brickwork",128.91,3,2,2,2019,9,1948,661.558440636183
"shihlin",7020000,29.25,"Strengthen brickwork",77.32,3,1,1,2019,10,1956.9375,-149.974508802597
"Zhongzheng District",17200000,15.83,"Strengthen brickwork",64.3,3,2,1,2019,9,1959,456.99517897116
"Xinyi District",13700000,27.94,"Strengthen brickwork",117.81,3,2,2,2019,9,1947.861111,-515.239436851113
"Xinyi District",14680000,20.09,"Strengthen brickwork",92.21,3,2,2,2019,8,1949,196.928293294108
"Neihu District",14000000,29.84,"Strengthen brickwork",90.39,3,2,1,2019,9,1955.6,298.887969563575
"Songshan District",15520000,32.8,"Strengthen brickwork",92.32,3,2,1,2019,9,1953,153.912655586839
"Songshan District",11800000,17.14,"Strengthen brickwork",75.46,3,1,3,2019,9,1955,121.71492912283
"Xinyi District",23680000,23.59,"Strengthen brickwork",116.11,3,2,2,2019,9,1947,683.040155963555
"Xinyi District",17850000,27,"Strengthen brickwork",126.31,3,2,2,2019,9,1952,-147.797551318214
"Daan District",12550000,35.5,"Strengthen brickwork",94.1,3,2,1,2019,10,1957,204.913196542465
"Beitou",12000000,35,"Strengthen brickwork",105.45,3,2,2,2019,10,1955,-677.434442549082
"Zhongshan Area",17000000,23.41,"Strengthen brickwork",83.61,3,2,2,2019,10,1933,683.632000425529
"Zhongshan Area",11680000,22.49,"Strengthen brickwork",78.52,3,2,1,2019,9,1947,236.071164291111
"Zhongshan Area",13200000,38.63,"Strengthen brickwork",98.73,3,2,2,2019,9,1943,-74.6785125494047
"Datong District",13297100,30.3,"Strengthen brickwork",108.41,3,2,2,2019,10,1954,-861.274412660498
"Wenshan District",9000000,23.87,"Strengthen brickwork",88.83,3,2,1,2019,10,1949,-172.935675027184
"shihlin",16300000,29.67,"Strengthen brickwork",118.64,3,2,2,2019,9,1947,58.1404787682955
"Datong District",17640000,24.29,"Strengthen brickwork",107.33,3,2,2,2019,10,1947.875,-329.325942743264
"shihlin",6400000,34.88,"Strengthen brickwork",100.67,3,2,2,2019,10,1956.9375,-969.308435831248
"Wenshan District",19300000,36.02,"Strengthen brickwork",145.36,3,2,2,2019,9,1946,-108.984323395046
"Nangang District",19080000,40,"Strengthen brickwork",108.69,3,2,2,2019,9,1960,-101.65636333773
"Daan District",14800000,21.77,"Strengthen brickwork",103.46,3,1,2,2019,10,1946,326.357900108396
"Zhongzheng District",41500000,35.2,"Strengthen brickwork",165.28,3,2,2,2019,10,1947,359.958195973847
"Beitou",20500000,29.6,"Strengthen brickwork",103.02,3,2,2,2019,8,1951,406.283124495306
"Zhongzheng District",26800000,25.33,"Strengthen brickwork",129.9,3,2,2,2019,10,1945,-126.316873529568
"Zhongzheng District",33800000,26.25,"Strengthen brickwork",139.69,3,2,2,2019,10,1946,299.604633749256
"Daan District",7500000,11.58,"Strengthen brickwork",73.33,3,2,1,2019,10,1949,-186.473060575276
"Daan District",11500000,44.18,"Strengthen brickwork",110.69,3,2,2,2019,10,1951,-403.987137092365
"Daan District",14800000,35.75,"Strengthen brickwork",83.25,3,2,1,2019,10,1958,759.360175252712
"Xinyi District",13680000,39.4,"Strengthen brickwork",107.26,3,2,1,2019,10,1952,-218.484470436455
"Xinyi District",15100000,31.8,"Strengthen brickwork",120.43,3,2,2,2019,10,1946,-403.584292790944
"Daan District",11000000,30,"Strengthen brickwork",95.7,3,2,1,2019,10,1956,-61.7650632029951
"Daan District",9100000,17.5,"Strengthen brickwork",60.89,3,1,1,2019,10,1959,586.60651979668
"Beitou",8100000,34.5,"Strengthen brickwork",98.41,3,2,2,2019,9,1956.675,-1127.29390673944
"Nangang District",24010000,20.27,"Strengthen brickwork",126.01,3,1,2,2019,5,1947,81.3624562953171
"Nangang District",17800000,47,"Strengthen brickwork",81.6,3,2,2,2019,7,1955.176471,306.409123635704
"Beitou",12000000,26.8,"Strengthen brickwork",91.4,3,2,1,2019,10,1952,-348.748530572287
"Beitou",11000000,32.5,"Strengthen brickwork",88.77,3,2,1,2019,10,1960,-376.768037398642
"Beitou",23750000,37.04,"Strengthen brickwork",123.93,3,2,2,2019,10,1950,278.456555675601
"Nangang District",31500000,27.33,"Strengthen brickwork",139.31,3,2,2,2019,7,1951,389.398581365633
"Nangang District",26800000,68.25,"Strengthen brickwork",119.55,3,2,2,2019,10,1955.176471,413.536326518885
"Beitou",18000000,48.5,"Strengthen brickwork",105.28,3,2,1,2019,10,1956.675,145.606800212141
"Songshan District",12880000,28.25,"Strengthen brickwork",85.13,3,3,2,2019,10,1953,-206.808525405433
"Zhongshan Area",14100000,44.48,"Strengthen brickwork",108.26,3,2,2,2019,10,1941,-182.114274128494
"Songshan District",29300000,14.66,"Strengthen brickwork",140.55,3,2,2,2019,10,1944,456.934353011443
"Zhongshan Area",18000000,25.33,"Strengthen brickwork",116.09,3,2,2,2019,10,1947,189.075837881025
"Wenshan District",7200000,25.43,"Strengthen brickwork",100.2,3,1,1,2019,9,1958,-534.078061834366
"Zhongshan Area",19560000,24.15,"Strengthen brickwork",130.04,3,2,2,2019,10,1948,66.4271056936559
"Songshan District",13500000,24.5,"Strengthen brickwork",70.94,3,2,1,2019,10,1961,436.612643969993
"Beitou",11500000,21.09,"Strengthen brickwork",84.66,3,2,1,2019,10,1954,-252.219793951861
"Nangang District",20200000,39.58,"Strengthen brickwork",125,3,2,2,2019,10,1944,-464.183788915851
"Xinyi District",8360000,35.5,"See other registration items",76.95,3,1,1,2019,9,1955,-455.496839583199
"Xinyi District",13000000,23.2,"Strengthen brickwork",97.29,3,2,1,2019,10,1952,-80.3153986050516
"Daan District",14300000,32.54,"Strengthen brickwork",119.66,3,2,2,2019,10,1946,-247.387603377799
"Xinyi District",21000000,29.96,"Strengthen brickwork",153.55,3,2,2,2019,10,1950,-413.037705388392
"shihlin",21700000,36.5,"Strengthen brickwork",102.57,3,2,1,2019,10,1948,1079.23340033658
"Zhongzheng District",20500000,24.3,"Strengthen brickwork",94.23,3,2,1,2019,10,1946.190476,65.2099154341792
"Zhongzheng District",19680000,27.27,"Strengthen brickwork",87.24,3,2,1,2019,8,1947,129.469804432605
"Xinyi District",7920000,32.5,"Strengthen brickwork",87.75,3,2,1,2019,9,1957,-626.408389930457
"Songshan District",28400000,17.89,"Strengthen brickwork",127.06,3,2,2,2019,10,1949,712.346031371771
"Zhongzheng District",10000000,11.11,"Strengthen brickwork",73.61,3,2,2,2019,10,1936.9,-941.728172039819
"Zhongzheng District",17000000,45,"Strengthen brickwork",104.46,3,2,2,2019,9,1960.071429,-505.289301172368
"Xinyi District",14500000,35.66,"Strengthen brickwork",119.08,3,2,2,2019,9,1944,-472.050013320766
"Xinyi District",21250000,28.37,"Strengthen brickwork",143.83,3,2,2,2019,10,1953,-144.127394860622
"Daan District",8800000,33.75,"Strengthen brickwork",85.79,3,2,1,2019,9,1959,-171.40071302339
"Beitou",16060000,28.17,"Strengthen brickwork",112.24,3,2,2,2019,9,1947,-348.268606073803
"Nangang District",33000000,38,"Strengthen brickwork",188.21,3,2,2,2019,9,1942,-642.271292721919
"Nangang District",25500000,15.13,"Strengthen brickwork",117.68,3,2,2,2019,10,1951,323.606540262098
"Neihu District",13000000,29.08,"Strengthen brickwork",102.1,3,2,2,2019,9,1945,-217.387514424248
"Nangang District",20500000,37.75,"Strengthen brickwork",95.25,3,2,1,2019,9,1955.176471,355.262338490415
"Zhongshan Area",11300000,36.18,"Strengthen brickwork",126.31,3,2,2,2019,10,1950,-902.015499496931
"shihlin",10880000,41.98,"Strengthen brickwork",103.15,3,2,2,2019,10,1956.9375,-259.83713601391
"shihlin",11200000,19.45,"Strengthen brickwork",79.35,3,2,1,2019,10,1947,286.970517866464
"shihlin",10500000,29.29,"Strengthen brickwork",129.25,3,2,2,2019,10,1946,-980.807921775518
"Zhongshan Area",13000000,23.98,"Strengthen brickwork",86.74,3,2,1,2019,10,1950,266.276957698161
"Neihu District",13000000,39,"Strengthen brickwork",79.56,3,2,1,2019,10,1955.6,402.040115797596
"Xinyi District",18700000,51.11,"Strengthen brickwork",162.63,3,1,2,2019,11,1942,-805.806069482664
