"district","total_ntd","land_area","main_building_material","building_area","num_room","num_hall","num_toilet","transaction_year","transaction_month","building_age","mlr_resid"
"Xinyi District",20500000,34.64,"Strengthen brickwork",172.59,4,2,2,2019,11,1940,-856.320106500821
"Beitou",2500000,9,"Strengthen brickwork",21.77,4,1,1,2019,11,1957,-484.965345356344
"Daan District",17500000,41.5,"Strengthen brickwork",122.68,4,2,2,2019,11,1957,296.037943814746
"Zhongshan Area",13650000,35.86,"Strengthen brickwork",118.68,4,2,3,2019,11,1943,-375.220825004097
"shihlin",12500000,33.75,"Strengthen brickwork",78.66,4,2,2,2019,11,1956.9375,565.470499683026
"Zhongshan Area",11380000,24.14,"Strengthen brickwork",89.08,4,2,1,2019,12,1947,35.2009461898767
"Zhongzheng District",36500000,34.6,"Strengthen brickwork",151.82,4,2,2,2019,11,1948,354.73907641867
"Xinyi District",8500000,38,"Strengthen brickwork",109.43,4,2,2,2019,11,1957,-990.527522453895
"Songshan District",35880000,26.53,"Strengthen brickwork",148.2,4,2,2,2019,11,1942,938.523415960764
"Xinyi District",12000000,36.28,"Strengthen brickwork",109.83,4,2,1,2019,10,1953,-429.289661113249
"Xinyi District",22880000,31.71,"Strengthen brickwork",140.65,4,2,2,2019,11,1950,136.563955237103
"Zhongzheng District",39676000,52.12,"See other registration items",158.91,4,2,3,2019,12,1960.071429,-54.7296978420065
"Songshan District",29500000,30.06,"Strengthen brickwork",150.36,4,2,2,2019,12,1951,351.829899010365
"Zhongshan Area",15800000,43.43,"Strengthen brickwork",135.83,4,2,2,2019,11,1946,-434.112136848154
"Nangang District",33000000,28.53,"Strengthen brickwork",147.04,4,2,2,2019,12,1953,384.708745938363
"Nangang District",32500000,19.37,"Strengthen brickwork",144.1,4,2,2,2019,12,1941,376.043613930523
"Nangang District",32500000,26.48,"Strengthen brickwork",144.94,4,2,3,2019,10,1951,337.219753936682
"Beitou",24150000,39.1,"Strengthen brickwork",154.34,4,2,2,2019,10,1943,-325.190953679446
"Zhongshan Area",14100000,26.99,"Strengthen brickwork",105.33,4,2,2,2019,11,1946,8.37584859947029
"Songshan District",22100000,22.45,"Strengthen brickwork",119.09,4,2,2,2019,12,1947,319.900325879513
"Daan District",16150000,33.72,"Strengthen brickwork",123.88,4,2,2,2019,12,1946,80.6447192559443
"Songshan District",23000000,36.5,"Strengthen brickwork",88.35,4,2,2,2019,12,1957,1165.94296521955
"Zhongzheng District",16500000,39.69,"Strengthen brickwork",114.28,4,2,2,2019,12,1960.071429,-731.69350740373
"Songshan District",28000000,28.51,"Strengthen brickwork",158.17,4,2,3,2019,12,1947,-10.0172546885117
"Neihu District",15000000,35,"Strengthen brickwork",97.67,4,2,2,2019,11,1955,169.401886603434
"Zhongshan Area",19100000,53.7,"Strengthen brickwork",153.41,4,2,2,2019,12,1943,-415.774556314567
"Nangang District",15200000,27,"Strengthen brickwork",76.01,4,4,2,2019,11,1956,-112.295529010837
"Nangang District",14500000,6.9,"Strengthen brickwork",72.17,4,3,2,2019,12,1941,-30.8304546848788
"Beitou",23000000,24.8,"Strengthen brickwork",113.68,4,2,2,2019,11,1941,461.751407258942
"Zhongzheng District",35100000,30.4,"Strengthen brickwork",142.71,4,3,3,2019,11,1949,262.791939159339
"Zhongshan Area",17500000,29.95,"Strengthen brickwork",94.52,4,1,2,2019,11,1944,831.908931779754
"Zhongshan Area",24000000,46.46,"Strengthen brickwork",192.42,4,2,2,2019,10,1942,-815.236967169344
"Zhongzheng District",42000000,31.99,"Strengthen brickwork",135.48,4,2,2,2019,11,1944,1160.6218757407
"Songshan District",36000000,55.75,"Strengthen brickwork",155.75,4,2,2,2019,12,1954,861.829656180439
"Datong District",45300000,33.62,"Strengthen brickwork",179.7,4,2,2,2019,12,1953,624.839827101498
"Songshan District",9000000,9.49,"Strengthen brickwork",55.2,4,1,2,2019,2,1947,146.427945716054
"Zhongzheng District",42880000,42,"Strengthen brickwork",167.96,4,2,3,2019,12,1959,487.705976437358
"Zhongshan Area",14000000,27.44,"Strengthen brickwork",115.29,4,3,3,2019,12,1946,-403.416447221205
"Neihu District",14500000,30.75,"Strengthen brickwork",88.58,4,2,2,2019,12,1955.6,309.161119525771
"Xinyi District",21000000,37.6,"Strengthen brickwork",133.47,4,2,2,2019,12,1949,120.190114912291
"Nangang District",27500000,25.69,"Strengthen brickwork",136.33,4,2,2,2019,10,1950,110.768162233236
"Neihu District",10400000,42.75,"Strengthen brickwork",69.53,4,2,3,2019,11,1958,156.464591079891
"Zhongzheng District",37380000,33.36,"Strengthen brickwork",162.18,4,2,2,2019,12,1939.631579,183.573228557607
"Datong District",15800000,35.75,"See other registration items",97.41,3,2,1,2019,10,1961,-184.097649924691
"Wenshan District",11000000,36.75,"Strengthen brickwork",92.02,3,2,2,2019,7,1957,60.5386024078267
"Zhongshan Area",13600000,23.24,"Strengthen brickwork",89.72,3,2,2,2019,10,1946,206.78371571442
"Daan District",21500000,42,"Strengthen brickwork",105.97,3,2,2,2019,10,1956,1089.69910599635
"Xinyi District",15500000,33.24,"Strengthen brickwork",114.1,3,2,2,2019,9,1948,-178.241111998609
"Daan District",10000000,28.4,"Strengthen brickwork",91.42,3,2,2,2019,9,1954,-97.9190016257126
"Zhongzheng District",31600000,25.38,"Strengthen brickwork",115.37,3,2,1,2019,7,1939,650.303174114717
"Zhongzheng District",15700000,24,"Strengthen brickwork",80.57,3,2,1,2019,10,1959,-97.9626547677056
"shihlin",12800000,36.33,"Strengthen brickwork",109,3,2,2,2019,9,1941,-208.725123750623
"Beitou",23850000,25.3,"Strengthen brickwork",131.75,3,2,2,2019,10,1943,39.3827500608274
"Zhongzheng District",51000000,20.57,"Strengthen brickwork",185.77,3,2,2,2019,8,1950,560.030726237931
"Wanhua District",7830000,21.5,"Strengthen brickwork",79.59,3,1,1,2019,9,1957,-279.091148542044
"Zhongzheng District",23200000,32.95,"Strengthen brickwork",116.56,3,2,2,2019,10,1949,-133.91057271426
"Zhongzheng District",18800000,24.8,"Strengthen brickwork",94.94,3,2,2,2019,10,1943,-165.419620147953
"Xinyi District",20300000,26.88,"Strengthen brickwork",125.45,3,2,2,2019,10,1946,108.886031637807
"Xinyi District",8500000,25.75,"Strengthen brickwork",78.67,3,2,1,2019,10,1954,-332.774626849811
"Nangang District",18000000,41,"Strengthen brickwork",118.42,3,2,1,2019,10,1958,-430.766170705968
"Beitou",19500000,31.25,"Strengthen brickwork",88.49,3,2,2,2019,10,1953,631.141281037041
"Datong District",30880000,45.25,"Strengthen brickwork",137.31,3,2,2,2019,10,1957.272727,414.647792226625
"shihlin",12900000,18.22,"Strengthen brickwork",76.9,3,1,1,2019,10,1936,655.029192877525
"shihlin",11800000,29.82,"Strengthen brickwork",110.74,3,2,2,2019,10,1948,-368.317389616484
"shihlin",6000000,20.75,"See other registration items",46.32,3,2,2,2019,11,1961,52.7700256737401
"Songshan District",13000000,30.25,"Strengthen brickwork",113.94,3,2,1,2019,9,1944,-709.056179285284
"Beitou",11000000,24.75,"Strengthen brickwork",82.58,3,2,2,2019,10,1952,-352.707580850578
"Nangang District",28880000,45.47,"Strengthen brickwork",145.08,3,2,2,2019,6,1941,-40.7295343953093
"Xinyi District",22880000,33.03,"Strengthen brickwork",107.69,3,2,2,2019,10,1948,820.563832234619
"Xinyi District",8680000,30,"Strengthen brickwork",81.66,3,2,1,2019,10,1952,-370.171284523473
"Xinyi District",9000000,22.5,"Strengthen brickwork",47.99,3,1,1,2019,9,1957,598.389931603964
"Xinyi District",10000000,29.4,"Strengthen brickwork",78.05,3,2,1,2019,8,1952,-83.031158750963
"Zhongzheng District",28900000,20.02,"Strengthen brickwork",105.13,3,2,2,2019,10,1945,637.684775872633
"Zhongzheng District",35000000,15.78,"Strengthen brickwork",128.91,3,2,2,2019,9,1948,628.713856949933
"shihlin",7020000,29.25,"Strengthen brickwork",77.32,3,1,1,2019,10,1956.9375,-168.819895514222
"Zhongzheng District",17200000,15.83,"Strengthen brickwork",64.3,3,2,1,2019,9,1959,436.504270101209
"Xinyi District",13700000,27.94,"Strengthen brickwork",117.81,3,2,2,2019,9,1947.861111,-513.044708404974
"Xinyi District",14680000,20.09,"Strengthen brickwork",92.21,3,2,2,2019,8,1949,187.796727743498
"Neihu District",14000000,29.84,"Strengthen brickwork",90.39,3,2,1,2019,9,1955.6,176.315908366188
"Songshan District",15520000,32.8,"Strengthen brickwork",92.32,3,2,1,2019,9,1953,172.701417607731
"Songshan District",11800000,17.14,"Strengthen brickwork",75.46,3,1,3,2019,9,1955,96.9720561142431
"Xinyi District",23680000,23.59,"Strengthen brickwork",116.11,3,2,2,2019,9,1947,676.163108287545
"Xinyi District",17850000,27,"Strengthen brickwork",126.31,3,2,2,2019,9,1952,-167.675101590945
"Daan District",12550000,35.5,"Strengthen brickwork",94.1,3,2,1,2019,10,1957,292.648433154485
"Beitou",12000000,35,"Strengthen brickwork",105.45,3,2,2,2019,10,1955,-692.569836079724
"Zhongshan Area",17000000,23.41,"Strengthen brickwork",83.61,3,2,2,2019,10,1933,720.618124060209
"Zhongshan Area",11680000,22.49,"Strengthen brickwork",78.52,3,2,1,2019,9,1947,227.06614304114
"Zhongshan Area",13200000,38.63,"Strengthen brickwork",98.73,3,2,2,2019,9,1943,-37.4853455184829
"Datong District",13297100,30.3,"Strengthen brickwork",108.41,3,2,2,2019,10,1954,-882.380026860225
"Wenshan District",9000000,23.87,"Strengthen brickwork",88.83,3,2,1,2019,10,1949,-201.952591073826
"shihlin",16300000,29.67,"Strengthen brickwork",118.64,3,2,2,2019,9,1947,41.3583238403305
"Datong District",17640000,24.29,"Strengthen brickwork",107.33,3,2,2,2019,10,1947.875,-348.274499157088
"shihlin",6400000,34.88,"Strengthen brickwork",100.67,3,2,2,2019,10,1956.9375,-986.105913067148
"Wenshan District",19300000,36.02,"Strengthen brickwork",145.36,3,2,2,2019,9,1946,-136.039739374623
"Songshan District",13200000,11.93,"Strengthen brickwork",138.7,3,2,2,2019,10,1937,-1360.04947577498
"Nangang District",19080000,40,"Strengthen brickwork",108.69,3,2,2,2019,9,1960,-114.092916535121
"Daan District",14800000,21.77,"Strengthen brickwork",103.46,3,1,2,2019,10,1946,398.581773284792
"Zhongzheng District",41500000,35.2,"Strengthen brickwork",165.28,3,2,2,2019,10,1947,364.842141421881
"Beitou",20500000,29.6,"Strengthen brickwork",103.02,3,2,2,2019,8,1951,383.828873924265
"Zhongzheng District",26800000,25.33,"Strengthen brickwork",129.9,3,2,2,2019,10,1945,-119.006905580987
"Zhongzheng District",33800000,26.25,"Strengthen brickwork",139.69,3,2,2,2019,10,1946,299.406236579436
"Daan District",7500000,11.58,"Strengthen brickwork",73.33,3,2,1,2019,10,1949,-130.010565038024
"Daan District",11500000,44.18,"Strengthen brickwork",110.69,3,2,2,2019,10,1951,-283.445152550174
"Daan District",14800000,35.75,"Strengthen brickwork",83.25,3,2,1,2019,10,1958,852.550584818286
"Xinyi District",13680000,39.4,"Strengthen brickwork",107.26,3,2,1,2019,10,1952,-184.489278706847
"Xinyi District",15100000,31.8,"Strengthen brickwork",120.43,3,2,2,2019,10,1946,-383.061707019003
"Daan District",11000000,30,"Strengthen brickwork",95.7,3,2,1,2019,10,1956,11.4998820883699
"Daan District",9100000,17.5,"Strengthen brickwork",60.89,3,1,1,2019,10,1959,635.933406343859
"Beitou",8100000,34.5,"Strengthen brickwork",98.41,3,2,2,2019,9,1956.675,-1146.8991624077
"Nangang District",24010000,20.27,"Strengthen brickwork",126.01,3,1,2,2019,5,1947,25.0126012103325
"Nangang District",17800000,47,"Strengthen brickwork",81.6,3,2,2,2019,7,1955.176471,344.283578415422
"Beitou",12000000,26.8,"Strengthen brickwork",91.4,3,2,1,2019,10,1952,-368.627153462933
"Beitou",11000000,32.5,"Strengthen brickwork",88.77,3,2,1,2019,10,1960,-402.97218507807
"Beitou",23750000,37.04,"Strengthen brickwork",123.93,3,2,2,2019,10,1950,271.843173729238
"Nangang District",31500000,27.33,"Strengthen brickwork",139.31,3,2,2,2019,7,1951,339.713340489179
"Nangang District",26800000,68.25,"Strengthen brickwork",119.55,3,2,2,2019,10,1955.176471,495.871624925814
"Beitou",18000000,48.5,"Strengthen brickwork",105.28,3,2,1,2019,10,1956.675,165.866575497434
"Songshan District",12880000,28.25,"Strengthen brickwork",85.13,3,3,2,2019,10,1953,-191.530812149359
"Zhongshan Area",14100000,44.48,"Strengthen brickwork",108.26,3,2,2,2019,10,1941,-125.205558128027
"Songshan District",29300000,14.66,"Strengthen brickwork",140.55,3,2,2,2019,10,1944,417.522869238902
"Zhongshan Area",18000000,25.33,"Strengthen brickwork",116.09,3,2,2,2019,10,1947,163.970905421072
"Wenshan District",7200000,25.43,"Strengthen brickwork",100.2,3,1,1,2019,9,1958,-600.17566635837
"Wanhua District",4600000,21.25,"See other registration items",65.96,3,1,1,2019,9,1956.125,-289.616067352836
"Zhongshan Area",19560000,24.15,"Strengthen brickwork",130.04,3,2,2,2019,10,1948,24.5068840780478
"Songshan District",13500000,24.5,"Strengthen brickwork",70.94,3,2,1,2019,10,1961,423.524405700047
"Beitou",11500000,21.09,"Strengthen brickwork",84.66,3,2,1,2019,10,1954,-290.638035823879
"Nangang District",20200000,39.58,"Strengthen brickwork",125,3,2,2,2019,10,1944,-436.317702563764
"Xinyi District",13000000,23.2,"Strengthen brickwork",97.29,3,2,1,2019,10,1952,-87.609223858602
"Daan District",14300000,32.54,"Strengthen brickwork",119.66,3,2,2,2019,10,1946,-152.398663954175
"Xinyi District",21000000,29.96,"Strengthen brickwork",153.55,3,2,2,2019,10,1950,-434.700590451791
"shihlin",21700000,36.5,"Strengthen brickwork",102.57,3,2,1,2019,10,1948,1094.31686801859
"Zhongzheng District",20500000,24.3,"Strengthen brickwork",94.23,3,2,1,2019,10,1946.190476,91.6773982984976
"Zhongzheng District",19680000,27.27,"Strengthen brickwork",87.24,3,2,1,2019,8,1947,161.781483074487
"Xinyi District",7920000,32.5,"Strengthen brickwork",87.75,3,2,1,2019,9,1957,-617.524445389382
"Songshan District",28400000,17.89,"Strengthen brickwork",127.06,3,2,2,2019,10,1949,676.577344094305
"Zhongzheng District",10000000,11.11,"Strengthen brickwork",73.61,3,2,2,2019,10,1936.9,-910.55962450762
"Zhongzheng District",17000000,45,"Strengthen brickwork",104.46,3,2,2,2019,9,1960.071429,-471.067500483107
"Xinyi District",14500000,35.66,"Strengthen brickwork",119.08,3,2,2,2019,9,1944,-435.441221242279
"Xinyi District",21250000,28.37,"Strengthen brickwork",143.83,3,2,2,2019,10,1953,-172.991899484298
"Daan District",8800000,33.75,"Strengthen brickwork",85.79,3,2,1,2019,9,1959,-91.9860699033925
"Beitou",16060000,28.17,"Strengthen brickwork",112.24,3,2,2,2019,9,1947,-366.260384655904
"Nangang District",33000000,38,"Strengthen brickwork",188.21,3,2,2,2019,9,1942,-661.437751976465
"Nangang District",25500000,15.13,"Strengthen brickwork",117.68,3,2,2,2019,10,1951,261.410262234521
"Neihu District",13000000,29.08,"Strengthen brickwork",102.1,3,2,2,2019,9,1945,-317.336511869515
"Nangang District",20500000,37.75,"Strengthen brickwork",95.25,3,2,1,2019,9,1955.176471,361.228897183737
"Nangang District",7500000,36.75,"Strengthen brickwork",90.51,3,1,1,2019,10,1955.176471,-1177.16419740178
"Zhongshan Area",11300000,36.18,"Strengthen brickwork",126.31,3,2,2,2019,10,1950,-911.525796720705
"shihlin",10880000,41.98,"Strengthen brickwork",103.15,3,2,2,2019,10,1956.9375,-257.16830141828
"shihlin",11200000,19.45,"Strengthen brickwork",79.35,3,2,1,2019,10,1947,270.99253544948
"shihlin",10500000,29.29,"Strengthen brickwork",129.25,3,2,2,2019,10,1946,-1000.4803248253
